extrapolated_hz,extrapolated_power,extrapolated_flow,extrapolated_head
65,6.548284133516314,0.0,86.06677083333331
65,7.354417596922678,43.875,84.18899305555554
65,8.358983912859841,87.20833333333333,83.78057638888887
65,9.487570761628751,130.0,81.92861805555555
65,10.616157610397662,172.25,77.39026388888887
65,11.645528032901174,215.58333333333334,70.55045833333332
65,12.674898455404685,260.0,60.235590277777774
65,13.518238078660573,303.3333333333333,48.763541666666654
65,14.15074279610249,346.6666666666667,35.65430555555555
60,5.28,0.0,73.335
60,5.93,40.5,71.735
60,6.74,80.5,71.387
60,7.65,120.0,69.809
60,8.56,159.0,65.942
60,9.39,199.0,60.114
60,10.22,240.0,51.325
60,10.9,280.0,41.55
60,11.41,320.0,30.38
55,4.1828001793858824,0.0,61.62177083333332
55,4.697728231772402,37.125,60.27732638888888
55,5.339407804746372,73.79166666666667,59.98490972222221
55,6.0603070780875,110.0,58.65895138888888
55,6.781206351428628,145.75,55.40959722222221
55,7.43872986447603,182.41666666666666,50.51245833333333
55,8.096253377523432,220.0,43.12725694444444
55,8.634947340020098,256.6666666666667,34.91354166666666
55,9.038967811892597,293.3333333333333,25.527638888888884
50,3.2452596713049306,0.0,50.927083333333336
50,3.6447708050829997,33.75,49.81597222222223
50,4.142623141021825,67.08333333333333,49.57430555555556
50,4.701938728311122,100.0,48.47847222222223
50,5.261254315600418,132.5,45.793055555555554
50,5.771399301809337,165.83333333333334,41.74583333333334
50,6.281544288018257,200.0,35.642361111111114
50,6.699494397201467,233.33333333333334,28.854166666666668
50,7.012956979088874,266.6666666666667,21.097222222222225
45,2.455823841809506,0.0,41.2509375
45,2.758150640517116,30.375,40.3509375
45,3.1348963435219837,60.375,40.1551875
45,3.558153861712637,90.0,39.2675625
45,3.9814113799032906,119.25,37.092375
45,4.3674594459453155,149.25,33.814125
45,4.75350751198734,180.0,28.8703125
45,5.069787855250685,210.0,23.371875
45,5.306998112698195,240.0,17.08875
40,1.8027915816540938,0.0,32.59333333333333
40,2.0247261513652983,27.0,31.88222222222222
40,2.301290769005415,53.666666666666664,31.727555555555554
40,2.6119991666011018,80.0,31.02622222222222
40,2.922707564196789,106.0,29.307555555555552
40,3.2061009378280194,132.66666666666666,26.71733333333333
40,3.48949431145925,160.0,22.81111111111111
40,3.7216720151571256,186.66666666666666,18.466666666666665
40,3.8958052929305325,213.33333333333334,13.50222222222222
30,0.8582714178945069,0.0,18.33375
30,0.9639298310822776,20.25,17.93375
30,1.0955964690547304,40.25,17.84675
30,1.2435182475176094,60.0,17.45225
30,1.3914400259804884,79.5,16.4855
30,1.5263576920510264,99.5,15.0285
30,1.6612753581215645,120.0,12.83125
30,1.7718103134564631,140.0,10.3875
30,1.854711529957637,160.0,7.595
